popularity,english_title,release_year,runtime,tmdb_id,imdbRating,imdbVotes,rtAudienceRating,poster,backdrop,imdb_id,created_at,run_id,rtAudienceVotes,rt_id,lb_id,lbRating,lbVotes,tmdbRating,tmdbVotes,rtCriticRating,rtCriticVotes
18.2606,Predator,1987,107,106,7.8,496241,87,https://image.tmdb.org/t/p/w500/aN3cdjIK70KGmD84et8MMblU87Q.jpg,https://image.tmdb.org/t/p/w1280/otkJlfjB7zJ5h34FEIfemenMbCy.jpg,tt0093773,2026-01-16 11:52:01.778288+00,219,250000,/m/predator,tmdb/106,3.8,558944,75,8856,64,114
10.9259,Pretty Woman,1990,120,114,9,400916,68,https://image.tmdb.org/t/p/w500/hVHUfT801LQATGd26VPzhorIYza.jpg,https://image.tmdb.org/t/p/w1280/sGEqHTylawwS6hwKultk1mKUjdB.jpg,tt0100405,2026-01-20 17:15:21.870958+00,228,250000,/m/pretty_woman,tmdb/114,3.7,1114079,75,8831,64,78
17.4644,"The Good, the Bad and the Ugly",1966,161,429,10,884837,97,https://image.tmdb.org/t/p/w500/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,https://image.tmdb.org/t/p/w1280/Adrip2Jqzw56KeuV2nAxucKMNXA.jpg,tt0060196,2026-01-16 11:52:01.778288+00,150,100000,/m/the_good_the_bad_and_the_ugly,tmdb/429,4.5,688330,85,9418,97,76
10.8343,Grease,1978,110,621,8,323774,87,https://image.tmdb.org/t/p/w500/2rM7fQKpb7cs1Iq7IBqub9LFDzJ.jpg,https://image.tmdb.org/t/p/w1280/mGPc6OBx75S1MuMjgx0pQHIyt8e.jpg,tt0077631,2026-02-18 14:30:00.230817+00,228,250000,/m/grease,tmdb/621,3.5,1049021,74,7571,65,157
22.0302,Pulp Fiction,1994,154,680,10,2414076,96,https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,https://image.tmdb.org/t/p/w1280/96hiUXEuYsu4tcnvlaY8tEMFM0m.jpg,tt0110912,2026-02-18 14:30:00.230817+00,228,250000,/m/pulp_fiction,tmdb/680,4.2,3919327,85,29690,92,186
1.0145,Home Alone,1990,103,771,10,737937,81,https://image.tmdb.org/t/p/w500/i5We88HdO9Nsrv8xLyo4toNsLUM.jpg,https://image.tmdb.org/t/p/w1280/ih2xVgeMS8R5WUetYE8Mr9hVTlB.jpg,tt0099785,2026-01-16 11:52:01.778288+00,169,250000,/m/home_alone,tmdb/771,3.9,2585349,75,12289,66,116
20.417,Se7en,1995,127,807,10,1998075,95,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,https://image.tmdb.org/t/p/w1280/iwgl8zlrrfvfWp9k9Paj8lvFEvS.jpg,tt0114369,2026-01-16 11:52:01.778288+00,228,250000,/m/seven,tmdb/807,4.4,3255756,84,22622,84,156
18.396,The Lion King,1994,89,8587,10,1247844,93,https://image.tmdb.org/t/p/w500/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,https://image.tmdb.org/t/p/w1280/6GF9uJs7AnbcJvyfoZyjZv063Oo.jpg,tt0110357,2026-02-04 10:37:03.53861+00,228,250000,/m/the_lion_king,tmdb/8587,4.2,1929371,83,19380,92,172
3.538,Rat Race,2001,112,9896,7,129793,64,https://image.tmdb.org/t/p/w500/3dpim9bLdi5uh55idJ6HxA7eZH4.jpg,https://image.tmdb.org/t/p/w1280/vian6RN3bC4QdBQzY1wTmBkhxVQ.jpg,tt0250687,2026-02-18 14:30:00.230817+00,228,250000,/m/rat_race,tmdb/9896,3.2,86874,63,1920,44,128
12.5042,Beauty and the Beast,1991,84,10020,10,502786,94,https://image.tmdb.org/t/p/w500/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,https://image.tmdb.org/t/p/w1280/fW4ZCoEZRBqLAJGFQ2g5AdAfPQR.jpg,tt0101414,2026-02-04 10:37:03.53861+00,219,250000,/m/beauty_and_the_beast_1991,tmdb/10020,3.9,865128,77,10508,95,170
1.8208,Sliding Doors,1998,99,10215,8,75075,77,https://image.tmdb.org/t/p/w500/s8VOVTywXZIIHqdEjkCZziH0ebq.jpg,https://image.tmdb.org/t/p/w1280/1dApwEEMrk7QnUb1EpyYWrG6nRh.jpg,tt0120148,2026-01-16 11:52:01.778288+00,144,50000,/m/sliding_doors,tmdb/10215,3.1,55267,66,1394,65,54
