imdb_id,english_title,hebrew_title,release_date,en_poster,backdrop,tmdb_id,old_uuid,id,created_at,run_id,release_year,en_trailer
tt28291010,"13 Days, 13 Nights: In the Hell of Kabul",הבריחה מקאבול,2026-04-16,https://image.tmdb.org/t/p/w500/orcdyqJZhbr731iN7yq7TK5zluc.jpg,https://image.tmdb.org/t/p/w500/1zlHZDtV5KsX5VcBahNy5GDqUVt.jpg,1254135,9287718a-346d-4ad5-bf32-78fd817414f5,0224bb5b-4158-4e74-abed-1aad2a5bd974,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt26452616,Giant,ענק,2026-03-05,https://image.tmdb.org/t/p/w500/jInqH9ry89ZCSFjykXvW0fQWe6m.jpg,https://image.tmdb.org/t/p/w500/pWGggSMdp5Nbgq8PQrxkpdn6pNS.jpg,1078581,5892c61a-79e6-408a-8c3b-4a48abbdbb9c,038ff2ad-0e94-4136-bba6-0b0d70be047e,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt21861446,Valley of Shadows,טרום בכורה - בחזרה מההימלאיה,2026-04-19,https://image.tmdb.org/t/p/w500/fxmHrv2dCSoULvkT3jfStNKJeOw.jpg,https://image.tmdb.org/t/p/w500/trru8Agn7wdLNzzL05L8ZzO9Mmt.jpg,1145857,794fbe1d-ee84-445c-8813-7cb74958fb88,04d2a5bc-999b-4d1e-8640-d0a64b2a3435,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt33978029,Ready or Not 2: Here I Come,"מי שעומד מאחורי 2,1…",2026-03-26,https://image.tmdb.org/t/p/w500/13ZcJzSGEqVgDSqsS9U5EkQwPkV.jpg,https://image.tmdb.org/t/p/w500/sJAzq4IvgohP9nVzijCH6lovX3e.jpg,1266127,04403989-9c51-4b80-b80f-a42e327e230d,092aeed0-a0e8-4714-9ea8-4c0e857db96e,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
,Cuz You're Ugly,כי את מכוערת,2026-03-12,https://image.tmdb.org/t/p/w500/kZCCnmW06NxfwdEO2AAzqFynXUY.jpg,https://image.tmdb.org/t/p/w500/rS7SwUMiKiaobAHpuwpeg8F6s06.jpg,1177748,894a59a3-7091-4837-9e6d-08f763bc40dc,118f1bec-3079-42ca-9986-697cfc37ad70,2026-02-04 09:57:11.996231+00,219,,shW9i6k8cB0
tt27419420,Street Fighter,סטריט פייטר,2026-10-15,https://image.tmdb.org/t/p/w500/kFsjvIZBt6uJ4dVNCsdTVooBx4k.jpg,https://image.tmdb.org/t/p/w500/k0cEoowzTwxYCTRI7gV6nqPF1ds.jpg,1153576,0e2fac8e-96ff-4880-ae4e-627922c4e267,1709d5bf-1b15-4478-9528-a4962c00321d,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt33764258,The Odyssey,האודיסאה,2026-07-16,https://image.tmdb.org/t/p/w500/pe5cCoX5iIb5IWKPsbPkCwjLFHt.jpg,https://image.tmdb.org/t/p/w500/min3RDzQEykmPRF7ICyeNfwuvsc.jpg,1368337,76b7f4d9-43dd-464d-8cfa-fa04ccf8a0fc,180ec229-a6de-4a4d-b8a3-2ba4d9d1a6f3,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt32558705,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,2026-11-19,https://image.tmdb.org/t/p/w500/kONfwpf0AZzvL1zqjZV9C89g1PY.jpg,https://image.tmdb.org/t/p/w500/kYiBCmE9xX447kkwSdUEyyCxqBL.jpg,1300968,a490cdb6-892f-4958-9922-15dc6cb9176e,1a3dd60c-0ced-4814-ba76-459ffd1a4f1e,2026-02-04 09:57:11.996231+00,219,,shW9i6k8cB0
tt0077631,Grease,גריז,2026-06-11,https://image.tmdb.org/t/p/w500/2rM7fQKpb7cs1Iq7IBqub9LFDzJ.jpg,https://image.tmdb.org/t/p/w500/mGPc6OBx75S1MuMjgx0pQHIyt8e.jpg,621,405e7ea0-4db7-491d-96ad-684b1e52d5c8,1cf044fd-9ade-452b-abae-90281aba21a1,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
,No Signal,איך שגעתי ת'שודדים,2026-02-26,,,1597559,1ba50f91-b58b-4c8b-8e11-d51177a7ebc7,278fcfbd-22e8-441c-9547-d1caadc87833,2026-01-20 17:07:19.74168+00,153,,shW9i6k8cB0
tt15047880,Disclosure Day,התגלית,2026-06-11,https://image.tmdb.org/t/p/w500/AnJ8IQJI23hNpYXVNaythu061Ru.jpg,https://image.tmdb.org/t/p/w500/5p6BsJtnPbglYN15MuiUEppPl0f.jpg,1275779,b002cb0c-528c-47cc-8f8f-e1fee7a6f0cc,312c92ec-5a1d-4e7b-8d6a-a5fab4b2c72e,2026-02-18 13:59:34.930009+00,228,,shW9i6k8cB0
tt0983193,The Adventures of Tintin,הרפתקאות טינטין מדובב לערבית - مغامرات تان تان,2026-04-09,https://image.tmdb.org/t/p/w500/fQZ3sLR1Fi63NMsNRbjm9q5qODJ.jpg,https://image.tmdb.org/t/p/w500/6mqgl2szMLRYj4lhlXOjju5Tpeo.jpg,17578,44083270-ed05-41e8-8fca-6cedba5f393e,33328c7a-2626-4ccb-bcb8-e6df59020208,2026-02-18 13:59:34.930009+00,227,,shW9i6k8cB0
tt32612507,Lee Cronin's The Mummy,מומיה,2026-04-16,https://image.tmdb.org/t/p/w500/r6EvyNwGgq4AyRLHagODa0AR6HA.jpg,https://image.tmdb.org/t/p/w500/7ZxvGorL1SPi1pNWAYzITJ9eSLV.jpg,1304313,f3029d6f-05d6-4451-a94f-0571b02242ba,384d35e1-599d-4010-aea0-d6fe8ff31749,2026-01-28 14:14:14.285878+00,156,,shW9i6k8cB0
tt27419466,Moana,מואנה - לייב אקשן,2026-07-09,https://image.tmdb.org/t/p/w500/8Kpmnbbb8Rp1wG99thlcZ9JAUqo.jpg,https://image.tmdb.org/t/p/w500/ogv0eTxwCVcrfKYsl2GKH4hNHJL.jpg,1108427,f045665f-6ace-4e29-9eec-c91ea3b81e2f,3990481b-1903-413a-98be-0da0d23f3270,2026-01-28 14:14:14.285878+00,156,,shW9i6k8cB0
tt31193180,Sinners,חוטאים,2026-03-12,https://image.tmdb.org/t/p/w500/qTvFWCGeGXgBRaINLY1zqgTPSpn.jpg,https://image.tmdb.org/t/p/w500/nAxGnGHOsfzufThz20zgmRwKur3.jpg,1233413,325c2701-c12f-4716-a056-0ec51244f6be,410ae7e3-a301-41a9-838b-2e2d444527e7,2026-02-03 16:31:12.954975+00,218,,shW9i6k8cB0
,Dress to Impress,dress to impress,2026-03-03,,,1440237,55ea293c-b0f9-4d18-974e-a5f9c0d49fb5,44b89e9d-94d1-434f-86e4-d7afd177a609,2026-01-28 14:14:14.285878+00,156,,shW9i6k8cB0
tt14813764,Fleak,עולם המשאלות,2026-02-26,https://image.tmdb.org/t/p/w500/xfTB0HLxD1mwoFTHWhQrxJI1Q5n.jpg,https://image.tmdb.org/t/p/w500/hyQPfCbALQmi0FQc2vLFyfENpHM.jpg,680770,d713577a-0eb2-4002-a2e9-00deb406e1c0,45de2c27-3beb-4f73-9238-224049679aad,2026-02-04 09:57:11.996231+00,219,,shW9i6k8cB0
tt39315536,Twenty One Pilots: More Than We Ever Imagined,twenty one pilots: more than we ever ima,2026-02-26,https://image.tmdb.org/t/p/w500/4awhWx8MOS6bQhzbicXRFdyFDIG.jpg,https://image.tmdb.org/t/p/w500/2w9v0YZSqPJyuych0Wgq1D8Q2Jg.jpg,1612063,4f81415b-5dc7-4a8b-8274-83fc5e1181cb,494e2733-f321-4c23-8025-7bd69a97813e,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt20218618,June and John,ג'ון וג'ון,2026-04-02,https://image.tmdb.org/t/p/w500/xRa3VBDf9RRz26SYtCTgOu9lQK2.jpg,https://image.tmdb.org/t/p/w500/oXWTWJ1KHwE6BWFdiGcBcfvfypE.jpg,1216571,8fa05fd8-46eb-4c42-8a55-9a195d76dfb5,4daf59cc-1fee-4c0e-949c-9e6d512c256f,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt0110912,Pulp Fiction,ספרות זולה,2026-03-02,https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,https://image.tmdb.org/t/p/w500/96hiUXEuYsu4tcnvlaY8tEMFM0m.jpg,680,be5f251d-3c2c-4c6d-a686-2756b6d92bf1,4ff87edc-d16f-4d06-81f2-8d50c781cd69,2026-02-18 13:59:34.930009+00,227,,shW9i6k8cB0
tt2386490,How to Train Your Dragon: The Hidden World,הדרקון הראשון שלי: העולם הנסתר מדובב לערבית - تنيني الأول: العالم الخفي,2026-03-05,https://image.tmdb.org/t/p/w500/xvx4Yhf0DVH8G4LzNISpMfFBDy2.jpg,https://image.tmdb.org/t/p/w500/h3KN24PrOheHVYs9ypuOIdFBEpX.jpg,166428,5e9714d8-038b-4112-9cc5-4980f52bbe38,526e2597-8f91-4fc4-b2a7-f7286d98ad7e,2026-01-20 17:07:19.74168+00,153,,shW9i6k8cB0
tt31066723,Two Women,בגידות קטנות,2026-03-05,https://image.tmdb.org/t/p/w500/4TCAsaSIUTLNRfzGIYsmiyBW3E9.jpg,https://image.tmdb.org/t/p/w500/kgz5mxoIMIx9DORgo23q5SMHmsw.jpg,1073588,2802beab-0434-4ba4-8eb9-11857139f7b5,53adfa69-b5f6-4c2b-bbff-5cb641c87d43,2026-02-18 13:59:34.930009+00,228,,shW9i6k8cB0
tt33612209,The Devil Wears Prada 2,השטן לובשת פראדה 2,2026-04-30,https://image.tmdb.org/t/p/w500/DCeVQf830rhxqrDgz3qvk7U7s6.jpg,https://image.tmdb.org/t/p/w500/2cr7imTLVSSrzgL3bFKAMCMdgKw.jpg,1314481,10642e1e-6d22-443b-b153-e4f546217e8a,578161d3-a43d-43b7-8375-f631d70a5bf9,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt32890033,Minions & Monsters,מיניונים ומפלצות,2026-07-02,https://image.tmdb.org/t/p/w500/prDTGLRRxp1T1f3910mRjBxWdeS.jpg,https://image.tmdb.org/t/p/w500/nzqjA60XpGUA0fJqjzSIFg4dkS.jpg,1315772,36230213-d846-459a-9af8-224de301dec3,58ae1102-e51d-4333-8862-c2a9e475b1d1,2026-02-18 13:59:34.930009+00,227,,shW9i6k8cB0
tt33071426,The Drama,הדרמה,2026-04-02,https://image.tmdb.org/t/p/w500/rnIOUhzwJDfgQakx8EjoNyItKgs.jpg,https://image.tmdb.org/t/p/w500/ghY17WXsnD36m8Xo98O0ZL52FsT.jpg,1325734,b8aeab29-eb62-422b-99e3-0aa8de2576d7,594ebbd2-4a6b-4ebd-80e0-28708513794e,2026-02-18 13:59:34.930009+00,227,,shW9i6k8cB0
